key,press_time,release_time,dwell_time,flight_time
s,0.0,77.81,77.81,0.0
e,192.28,236.96,44.69,114.47
c,317.46,409.61,92.15,80.49
u,553.63,679.89,126.26,144.03
r,756.69,839.97,83.28,76.8
e,926.34,1010.99,84.65,86.36
p,1082.87,1171.75,88.88,71.88
a,1266.19,1385.21,119.02,94.44
s,1466.79,1578.38,111.59,81.59
s,1653.56,1726.64,73.08,75.18
w,1813.24,1906.56,93.32,86.6
o,1952.29,2047.95,95.66,45.74
r,2130.34,2213.18,82.84,82.39
d,2304.55,2390.2,85.65,91.37
1,2528.89,2631.11,102.22,138.69
2,2707.49,2811.21,103.72,76.38
3,2921.62,3010.8,89.18,110.41
