key,press_time,release_time,dwell_time,flight_time
s,0.0,100.13,100.13,0.0
e,219.59,365.26,145.67,119.47
c,517.28,634.71,117.43,152.01
u,759.74,864.73,104.99,125.03
r,1016.7,1118.79,102.1,151.96
e,1266.75,1392.85,126.09,147.96
p,1523.02,1681.81,158.79,130.18
a,1787.52,1962.98,175.45,105.71
s,2131.01,2210.11,79.1,168.04
s,2322.57,2431.82,109.25,112.46
w,2506.11,2636.03,129.93,74.28
o,2774.91,2932.8,157.9,138.87
r,3081.68,3193.03,111.35,148.88
d,3371.16,3460.9,89.74,178.13
1,3575.65,3761.09,185.43,114.75
2,3930.12,4082.68,152.56,169.03
3,4213.55,4383.51,169.96,130.87
