key,press_time,release_time,dwell_time,flight_time
s,0.0,102.97,102.97,0.0
e,230.37,406.29,175.92,127.4
c,518.88,650.38,131.5,112.59
u,804.26,945.85,141.59,153.88
r,1088.41,1229.61,141.2,142.56
e,1344.73,1462.17,117.44,115.12
p,1595.95,1724.9,128.95,133.78
a,1871.41,1974.38,102.97,146.5
s,2001.34,2147.72,146.38,26.96
s,2230.37,2346.72,116.35,82.65
w,2459.59,2564.55,104.96,112.87
o,2685.59,2778.44,92.85,121.03
r,2913.94,3057.76,143.82,135.5
d,3200.25,3297.36,97.11,142.48
1,3415.29,3548.72,133.43,117.94
2,3662.13,3762.06,99.93,113.41
3,3889.26,4085.79,196.53,127.2
