key,press_time,release_time,dwell_time,flight_time
s,0.0,56.12,56.12,0.0
e,146.35,262.5,116.15,90.24
c,356.08,402.54,46.46,93.58
u,486.01,572.92,86.91,83.46
r,672.02,739.12,67.1,99.1
e,853.97,951.72,97.75,114.86
p,1052.05,1121.24,69.19,100.33
a,1231.93,1299.1,67.17,110.69
s,1429.21,1473.62,44.41,130.11
s,1590.01,1676.52,86.5,116.39
w,1794.14,1869.24,75.1,117.63
o,1982.47,2058.08,75.6,113.23
r,2220.77,2271.97,51.2,162.69
d,2329.46,2397.39,67.93,57.49
1,2550.47,2663.29,112.82,153.08
2,2760.23,2855.21,94.99,96.93
3,2971.59,3063.42,91.83,116.38
