key,press_time,release_time,dwell_time,flight_time
s,0.0,102.34,102.34,0.0
e,200.89,327.35,126.46,98.55
c,468.74,596.25,127.5,141.39
u,764.04,902.27,138.24,167.79
r,1009.58,1148.08,138.5,107.31
e,1269.19,1370.65,101.46,121.11
p,1512.81,1630.17,117.36,142.16
a,1771.48,1862.94,91.46,141.31
s,1942.98,2053.59,110.61,80.04
s,2194.98,2276.94,81.96,141.39
w,2373.39,2457.48,84.09,96.45
o,2512.01,2601.7,89.69,54.53
r,2750.55,2879.97,129.42,148.85
d,2998.58,3087.18,88.6,118.61
1,3187.41,3344.17,156.75,100.23
2,3456.91,3592.47,135.55,112.75
3,3797.11,3906.25,109.14,204.64
