key,press_time,release_time,dwell_time,flight_time
s,0.0,123.48,123.48,0.0
e,248.16,358.59,110.43,124.68
c,467.86,631.85,163.98,109.27
u,774.69,874.94,100.25,142.84
r,1050.2,1204.95,154.76,175.26
e,1332.76,1441.01,108.25,127.81
p,1641.79,1808.74,166.95,200.77
a,1920.13,2050.33,130.2,111.4
s,2207.88,2331.83,123.96,157.54
s,2527.82,2655.48,127.66,195.99
w,2747.25,2876.17,128.92,91.76
o,3035.83,3223.68,187.85,159.66
r,3321.42,3438.7,117.28,97.73
d,3580.15,3694.97,114.82,141.45
1,3874.59,4090.18,215.59,179.61
2,4196.63,4422.04,225.41,106.45
3,4519.57,4728.34,208.77,97.52
