key,press_time,release_time,dwell_time,flight_time
s,0.0,136.58,136.58,0.0
e,264.31,388.56,124.25,127.73
c,547.9,698.42,150.52,159.34
u,827.15,937.81,110.66,128.73
r,1035.82,1199.08,163.27,98.0
e,1357.45,1489.71,132.27,158.37
p,1627.13,1715.06,87.93,137.42
a,1812.33,1903.94,91.6,97.27
s,2057.89,2192.14,134.25,153.96
s,2293.89,2405.0,111.1,101.75
w,2541.06,2695.44,154.38,136.06
o,2812.43,2912.45,100.01,116.99
r,3050.54,3183.75,133.21,138.1
d,3336.91,3416.53,79.61,153.16
1,3551.08,3681.3,130.22,134.55
2,3804.54,3979.36,174.82,123.24
3,4104.38,4246.62,142.24,125.03
