key,press_time,release_time,dwell_time,flight_time
s,0.0,126.42,126.42,0.0
e,278.3,364.21,85.91,151.88
c,521.48,644.0,122.52,157.27
u,831.82,909.08,77.25,187.82
r,1001.56,1090.56,89.01,92.48
e,1224.06,1350.75,126.7,133.5
p,1501.26,1629.8,128.54,150.51
a,1751.69,1918.04,166.35,121.89
s,2003.29,2116.2,112.91,85.26
s,2313.78,2411.49,97.71,197.58
w,2579.75,2716.18,136.42,168.26
o,2814.34,2965.59,151.26,98.16
r,3136.16,3278.45,142.29,170.57
d,3487.51,3586.52,99.01,209.06
1,3718.08,3839.63,121.56,131.55
2,4002.78,4140.36,137.58,163.15
3,4252.74,4417.74,165.0,112.37
