key,press_time,release_time,dwell_time,flight_time
s,0.0,150.29,150.29,0.0
e,360.49,492.1,131.61,210.2
c,622.97,751.15,128.18,130.87
u,948.19,1075.49,127.3,197.04
r,1164.12,1342.49,178.37,88.63
e,1538.8,1728.34,189.54,196.31
p,1880.26,2066.06,185.8,151.93
a,2253.54,2373.23,119.68,187.48
s,2475.89,2627.2,151.31,102.66
s,2763.32,2919.03,155.71,136.11
w,3075.9,3190.28,114.39,156.87
o,3380.14,3519.57,139.43,189.85
r,3664.06,3841.11,177.05,144.49
d,4012.85,4162.86,150.01,171.74
1,4357.43,4518.98,161.55,194.57
2,4638.12,4806.5,168.37,119.14
3,4985.27,5199.77,214.5,178.77
