key,press_time,release_time,dwell_time,flight_time
s,0.0,131.02,131.02,0.0
e,299.11,421.9,122.79,168.09
c,568.42,653.3,84.87,146.52
u,817.96,899.03,81.07,164.67
r,1037.45,1148.8,111.34,138.42
e,1292.93,1411.69,118.76,144.13
p,1513.79,1683.37,169.58,102.1
a,1820.99,1893.58,72.6,137.62
s,2004.5,2096.21,91.71,110.92
s,2226.3,2310.9,84.6,130.09
w,2465.06,2627.81,162.75,154.16
o,2824.38,2941.48,117.1,196.57
r,3087.95,3216.11,128.15,146.47
d,3407.6,3522.5,114.9,191.49
1,3719.96,3873.8,153.84,197.45
2,3981.0,4127.25,146.24,107.2
3,4225.43,4375.8,150.37,98.18
