key,press_time,release_time,dwell_time,flight_time
s,0.0,71.11,71.11,0.0
e,178.37,268.99,90.62,107.25
c,354.23,440.03,85.8,85.24
u,528.74,606.05,77.31,88.71
r,713.2,795.81,82.61,107.15
e,919.14,995.58,76.44,123.33
p,1108.37,1204.57,96.2,112.79
a,1268.48,1358.5,90.02,63.91
s,1429.72,1497.02,67.3,71.22
s,1649.89,1759.42,109.52,152.87
w,1861.78,1932.74,70.96,102.36
o,2025.18,2094.81,69.63,92.44
r,2207.29,2304.93,97.64,112.48
d,2397.65,2452.33,54.68,92.72
1,2561.39,2639.13,77.74,109.06
2,2729.27,2820.39,91.11,90.14
3,2908.24,2983.68,75.44,87.85
