key,press_time,release_time,dwell_time,flight_time
s,0.0,101.76,101.76,0.0
e,214.72,341.67,126.95,112.95
c,508.6,642.55,133.94,166.94
u,852.0,966.52,114.52,209.46
r,1107.68,1209.69,102.01,141.16
e,1333.11,1463.5,130.39,123.42
p,1567.32,1682.3,114.98,103.82
a,1779.76,1866.14,86.38,97.45
s,2040.0,2123.77,83.77,173.87
s,2259.35,2352.24,92.88,135.58
w,2501.82,2608.86,107.04,149.58
o,2699.05,2826.38,127.33,90.19
r,2964.4,3068.87,104.46,138.02
d,3196.07,3308.46,112.39,127.21
1,3442.23,3548.61,106.38,133.77
2,3736.21,3866.11,129.9,187.59
3,3980.58,4097.51,116.94,114.47
