key,press_time,release_time,dwell_time,flight_time
s,0.0,78.39,78.39,0.0
e,219.83,339.59,119.76,141.43
c,484.13,579.84,95.71,144.54
u,735.61,845.26,109.65,155.78
r,1044.08,1142.95,98.87,198.82
e,1244.03,1351.22,107.19,101.08
p,1445.13,1580.63,135.5,93.91
a,1776.56,1905.63,129.07,195.93
s,2065.93,2154.63,88.7,160.3
s,2272.59,2379.09,106.5,117.96
w,2505.81,2619.19,113.38,126.72
o,2751.3,2869.31,118.01,132.11
r,2994.62,3111.65,117.03,125.31
d,3328.47,3417.02,88.55,216.82
1,3503.8,3643.31,139.51,86.78
2,3783.73,3919.51,135.78,140.42
3,4050.34,4150.91,100.57,130.83
