key,press_time,release_time,dwell_time,flight_time
s,0.0,62.23,62.23,0.0
e,105.34,169.96,64.62,43.11
c,247.97,316.98,69.01,78.01
u,415.04,522.25,107.21,98.06
r,663.16,752.06,88.9,140.91
e,880.9,959.47,78.57,128.84
p,1058.38,1177.86,119.48,98.91
a,1271.11,1390.19,119.07,93.26
s,1494.42,1592.25,97.84,104.23
s,1708.98,1772.09,63.11,116.72
w,1899.72,1971.77,72.05,127.63
o,2092.66,2203.72,111.05,120.89
r,2346.53,2439.77,93.24,142.81
d,2548.78,2650.52,101.74,109.01
1,2750.52,2847.95,97.43,99.99
2,2967.8,3076.17,108.37,119.85
3,3165.04,3268.5,103.45,88.87
