key,press_time,release_time,dwell_time,flight_time
s,0.0,50.44,50.44,0.0
e,271.21,337.14,65.92,220.78
c,482.27,591.94,109.67,145.13
u,708.62,822.93,114.31,116.68
r,935.79,1046.56,110.77,112.86
e,1186.39,1244.69,58.31,139.82
p,1396.29,1578.85,182.56,151.6
a,1675.73,1813.21,137.47,96.89
s,1922.21,2036.55,114.34,109.0
s,2150.29,2247.01,96.73,113.74
w,2316.16,2445.73,129.57,69.15
o,2561.61,2685.14,123.54,115.88
r,2767.26,2854.82,87.56,82.12
d,3014.32,3098.62,84.3,159.5
1,3175.09,3335.75,160.66,76.47
2,3438.58,3534.46,95.88,102.83
3,3636.81,3734.84,98.03,102.34
