key,press_time,release_time,dwell_time,flight_time
s,0.0,113.98,113.98,0.0
e,269.23,370.64,101.41,155.25
c,507.93,587.31,79.38,137.29
u,694.16,814.41,120.25,106.85
r,938.81,1044.2,105.39,124.4
e,1173.22,1262.91,89.69,129.02
p,1388.13,1536.96,148.83,125.22
a,1664.78,1807.27,142.48,127.82
s,1966.52,2043.8,77.28,159.26
s,2195.82,2276.11,80.29,152.01
w,2405.47,2499.11,93.65,129.36
o,2618.83,2765.02,146.19,119.72
r,2901.81,3021.05,119.24,136.79
d,3134.78,3265.16,130.38,113.73
1,3402.55,3497.83,95.28,137.39
2,3629.16,3792.38,163.22,131.33
3,3984.1,4100.76,116.67,191.71
