key,press_time,release_time,dwell_time,flight_time
s,0.0,147.48,147.48,0.0
e,289.53,398.23,108.7,142.05
c,535.87,676.88,141.01,137.64
u,805.1,942.47,137.37,128.22
r,1138.85,1226.67,87.82,196.38
e,1328.4,1449.81,121.42,101.72
p,1605.49,1750.77,145.28,155.68
a,1907.15,2037.81,130.66,156.37
s,2207.13,2319.84,112.7,169.33
s,2463.95,2587.95,124.0,144.11
w,2823.42,2976.73,153.31,235.47
o,3141.22,3261.82,120.6,164.49
r,3369.9,3514.67,144.76,108.08
d,3703.87,3847.35,143.48,189.2
1,4022.88,4156.63,133.75,175.53
2,4306.71,4455.78,149.07,150.07
3,4615.53,4757.3,141.77,159.75
