key,press_time,release_time,dwell_time,flight_time
s,0.0,87.64,87.64,0.0
e,145.16,243.03,97.86,57.52
c,340.18,410.99,70.8,97.16
u,513.65,572.05,58.39,102.67
r,637.18,739.7,102.52,65.13
e,843.97,913.92,69.96,104.27
p,1001.02,1085.42,84.4,87.1
a,1195.45,1267.39,71.94,110.03
s,1375.57,1427.77,52.2,108.18
s,1501.1,1551.18,50.08,73.34
w,1651.69,1719.97,68.27,100.51
o,1813.66,1881.34,67.68,93.69
r,2003.51,2085.59,82.08,122.16
d,2217.61,2290.97,73.36,132.02
1,2391.62,2473.35,81.73,100.65
2,2558.18,2660.62,102.44,84.83
3,2767.22,2843.78,76.56,106.6
