key,press_time,release_time,dwell_time,flight_time
s,0.0,97.46,97.46,0.0
e,247.4,336.97,89.57,149.94
c,524.21,672.85,148.64,187.25
u,809.06,958.11,149.05,136.21
r,1098.04,1197.06,99.02,139.93
e,1333.53,1482.3,148.77,136.48
p,1675.09,1791.1,116.01,192.79
a,1960.47,2106.07,145.6,169.38
s,2274.52,2330.11,55.59,168.45
s,2488.79,2653.71,164.92,158.68
w,2836.0,2977.56,141.56,182.29
o,3170.12,3347.92,177.81,192.55
r,3431.07,3592.56,161.49,83.15
d,3768.06,3897.43,129.37,175.5
1,4072.48,4208.89,136.41,175.05
2,4406.64,4599.32,192.68,197.75
3,4772.72,4927.53,154.8,173.4
