key,press_time,release_time,dwell_time,flight_time
s,0.0,76.52,76.52,0.0
e,223.73,310.31,86.57,147.21
c,419.45,504.67,85.23,109.14
u,650.58,739.59,89.01,145.91
r,840.6,903.07,62.47,101.02
e,981.26,1049.3,68.04,78.19
p,1139.74,1252.49,112.76,90.44
a,1330.97,1396.08,65.12,78.47
s,1446.51,1511.07,64.56,50.43
s,1561.89,1622.74,60.85,50.81
w,1771.46,1830.16,58.7,148.72
o,1936.29,2034.18,97.89,106.13
r,2109.76,2180.49,70.73,75.57
d,2255.45,2356.56,101.11,74.96
1,2465.64,2530.01,64.37,109.07
2,2660.71,2776.06,115.36,130.7
3,2839.29,2933.09,93.8,63.23
