key,press_time,release_time,dwell_time,flight_time
s,0.0,75.03,75.03,0.0
e,224.13,302.6,78.47,149.1
c,423.58,543.17,119.59,120.98
u,705.95,851.09,145.14,162.77
r,965.27,1095.88,130.61,114.18
e,1215.74,1315.22,99.48,119.87
p,1459.41,1611.14,151.72,144.19
a,1758.59,1869.22,110.63,147.45
s,1991.32,2097.36,106.04,122.1
s,2208.55,2312.96,104.42,111.19
w,2453.5,2544.67,91.16,140.54
o,2673.92,2786.02,112.1,129.25
r,2942.6,3031.5,88.91,156.58
d,3118.89,3234.39,115.5,87.39
1,3374.3,3497.06,122.76,139.91
2,3567.62,3716.55,148.93,70.56
3,3832.07,3960.83,128.76,115.51
