key,press_time,release_time,dwell_time,flight_time
s,0.0,160.69,160.69,0.0
e,404.06,592.93,188.87,243.38
c,759.5,959.36,199.86,166.56
u,1160.68,1327.56,166.87,201.32
r,1520.07,1666.31,146.24,192.52
e,1806.72,1957.03,150.31,140.4
p,2113.73,2371.99,258.26,156.7
a,2461.38,2647.5,186.12,89.39
s,2839.61,3019.64,180.03,192.11
s,3183.06,3342.33,159.28,163.42
w,3491.73,3699.79,208.05,149.4
o,3921.9,4118.87,196.97,222.12
r,4300.23,4488.03,187.81,181.36
d,4679.45,4840.28,160.83,191.41
1,5008.04,5235.8,227.76,167.77
2,5544.22,5842.51,298.29,308.42
3,6095.58,6238.2,142.62,253.07
