key,press_time,release_time,dwell_time,flight_time
s,0.0,141.77,141.77,0.0
e,294.24,416.7,122.46,152.47
c,515.93,620.36,104.43,99.23
u,724.7,853.23,128.53,104.34
r,947.2,1046.67,99.47,93.97
e,1150.96,1234.38,83.42,104.29
p,1371.99,1495.32,123.33,137.61
a,1576.89,1674.8,97.9,81.58
s,1901.68,2019.16,117.48,226.88
s,2137.09,2230.95,93.86,117.94
w,2289.71,2400.31,110.59,58.76
o,2557.44,2670.34,112.9,157.13
r,2795.51,2926.71,131.2,125.17
d,3028.47,3094.41,65.94,101.76
1,3169.95,3344.11,174.17,75.54
2,3484.13,3639.89,155.76,140.01
3,3737.5,3875.97,138.47,97.61
