key,press_time,release_time,dwell_time,flight_time
s,0.0,188.41,188.41,0.0
e,339.22,575.04,235.83,150.81
c,788.3,1026.93,238.63,213.26
u,1194.81,1434.52,239.71,167.89
r,1506.26,1674.39,168.13,71.73
e,1903.47,2125.82,222.36,229.08
p,2253.52,2430.46,176.94,127.7
a,2577.25,2749.2,171.95,146.78
s,2948.26,3046.88,98.62,199.07
s,3222.03,3356.54,134.51,175.16
w,3446.47,3661.35,214.88,89.93
o,3764.47,3991.75,227.28,103.12
r,4160.52,4329.74,169.22,168.77
d,4500.38,4660.71,160.33,170.63
1,4748.97,5058.56,309.59,88.27
2,5243.76,5514.66,270.9,185.2
3,5686.48,5994.28,307.8,171.82
