key,press_time,release_time,dwell_time,flight_time
s,0.0,67.22,67.22,0.0
e,189.63,280.65,91.02,122.41
c,415.51,475.99,60.47,134.86
u,638.37,717.08,78.72,162.38
r,801.9,885.43,83.53,84.82
e,992.13,1086.34,94.21,106.7
p,1215.54,1285.45,69.91,129.2
a,1373.35,1479.3,105.95,87.9
s,1562.15,1654.18,92.03,82.85
s,1778.98,1841.57,62.59,124.8
w,2027.64,2092.28,64.64,186.08
o,2185.39,2280.29,94.9,93.1
r,2401.3,2484.03,82.73,121.01
d,2589.57,2664.91,75.34,105.54
1,2794.98,2888.24,93.26,130.07
2,2978.25,3095.17,116.92,90.0
3,3195.95,3306.53,110.58,100.78
