key,press_time,release_time,dwell_time,flight_time
s,0.0,105.48,105.48,0.0
e,232.72,382.2,149.48,127.24
c,463.77,541.83,78.06,81.58
u,680.43,858.62,178.19,138.6
r,1026.28,1104.37,78.09,167.66
e,1193.34,1344.23,150.9,88.97
p,1433.85,1606.1,172.26,89.61
a,1721.5,1857.52,136.02,115.4
s,2039.93,2137.31,97.38,182.41
s,2277.06,2373.55,96.49,139.75
w,2503.69,2643.71,140.02,130.14
o,2734.53,2857.39,122.86,90.82
r,2992.23,3172.27,180.04,134.84
d,3314.36,3473.03,158.68,142.09
1,3576.32,3754.94,178.63,103.28
2,3939.41,4076.93,137.52,184.46
3,4213.14,4366.86,153.72,136.21
