key,press_time,release_time,dwell_time,flight_time
s,0.0,77.66,77.66,0.0
e,189.95,283.44,93.49,112.3
c,363.23,455.16,91.93,79.79
u,585.59,658.76,73.17,130.43
r,765.09,851.07,85.98,106.33
e,952.83,1009.13,56.3,101.76
p,1101.81,1186.62,84.82,92.67
a,1241.16,1339.75,98.59,54.54
s,1427.9,1498.31,70.41,88.15
s,1569.88,1641.04,71.16,71.57
w,1786.94,1872.88,85.94,145.9
o,1955.64,2052.99,97.35,82.76
r,2175.54,2248.35,72.82,122.54
d,2326.37,2395.22,68.85,78.02
1,2458.39,2592.65,134.25,63.17
2,2648.27,2751.58,103.3,55.63
3,2824.05,2926.32,102.27,72.47
