key,press_time,release_time,dwell_time,flight_time
s,0.0,99.07,99.07,0.0
e,158.01,352.76,194.76,58.94
c,514.72,803.42,288.7,161.95
u,909.33,1088.15,178.82,105.91
r,1325.95,1586.25,260.3,237.79
e,1730.19,1975.4,245.2,143.94
p,2206.07,2407.51,201.45,230.67
a,2547.43,2767.1,219.67,139.92
s,2955.53,3104.46,148.93,188.43
s,3293.63,3544.23,250.6,189.17
w,3637.54,3878.37,240.84,93.31
o,3972.09,4234.01,261.91,93.72
r,4447.71,4598.28,150.58,213.7
d,4884.75,5040.4,155.65,286.47
1,5248.73,5481.0,232.27,208.33
2,5682.8,5924.93,242.12,201.8
3,6120.13,6405.76,285.63,195.21
