key,press_time,release_time,dwell_time,flight_time
s,0.0,107.97,107.97,0.0
e,212.88,317.01,104.14,104.91
c,467.7,564.85,97.16,150.68
u,716.75,834.05,117.29,151.9
r,987.07,1147.25,160.18,153.02
e,1320.8,1494.28,173.48,173.56
p,1673.91,1772.93,99.03,179.62
a,1888.44,2034.43,145.99,115.51
s,2255.29,2301.73,46.45,220.85
s,2424.18,2579.41,155.23,122.45
w,2739.83,2900.59,160.76,160.41
o,3056.27,3177.33,121.06,155.68
r,3345.97,3481.85,135.88,168.64
d,3577.05,3749.82,172.78,95.2
1,3908.21,4045.67,137.46,158.38
2,4119.28,4267.72,148.45,73.61
3,4386.67,4502.11,115.45,118.94
