key,press_time,release_time,dwell_time,flight_time
s,0.0,131.056,131.056,0.0
e,306.359,438.471,132.112,175.303
c,494.842,632.205,137.364,56.371
u,777.327,927.031,149.703,145.122
r,994.378,1109.401,115.023,67.348
e,1204.893,1317.192,112.299,95.492
p,1457.006,1561.806,104.8,139.814
a,1722.945,1881.05,158.105,161.139
s,2015.567,2114.119,98.552,134.518
s,2150.463,2293.036,142.573,36.345
w,2430.159,2543.056,112.896,137.123
o,2676.979,2828.948,151.968,133.923
r,2988.019,3109.626,121.608,159.071
d,3269.999,3380.927,110.928,160.372
1,3544.066,3656.828,112.762,163.139
2,3845.4,3948.968,103.568,188.572
3,4048.029,4144.448,96.419,99.061
