key,press_time,release_time,dwell_time,flight_time
s,0.0,73.37,73.37,0.0
e,193.87,383.02,189.16,120.49
c,408.02,455.17,47.15,25.0
u,595.84,726.86,131.02,140.67
r,890.29,939.43,49.14,163.43
e,1061.29,1134.61,73.32,121.86
p,1208.66,1410.46,201.79,74.06
a,1586.09,1637.55,51.46,175.63
s,1879.25,2032.01,152.76,241.7
s,2173.09,2268.4,95.3,141.09
w,2293.4,2455.91,162.51,25.0
o,2636.15,2677.44,41.29,180.24
r,2843.39,3007.25,163.87,165.95
d,3216.22,3394.81,178.59,208.97
1,3419.81,3479.38,59.57,25.0
2,3770.83,3909.46,138.63,291.46
3,4095.64,4258.16,162.52,186.18
