key,press_time,release_time,dwell_time,flight_time
s,0.0,123.67,123.67,0.0
e,222.81,345.54,122.73,99.15
c,449.67,546.36,96.69,104.13
u,679.89,798.08,118.19,133.53
r,958.18,1118.03,159.84,160.1
e,1213.53,1356.59,143.06,95.5
p,1496.59,1620.82,124.23,140.0
a,1721.87,1854.11,132.23,101.05
s,2040.33,2141.95,101.62,186.23
s,2286.71,2398.23,111.52,144.76
w,2506.56,2599.96,93.4,108.33
o,2691.41,2814.02,122.62,91.45
r,2954.18,3077.43,123.25,140.16
d,3255.43,3389.04,133.61,177.99
1,3508.06,3628.13,120.07,119.02
2,3823.6,3949.1,125.5,195.47
3,4076.82,4223.78,146.96,127.71
