key,press_time,release_time,dwell_time,flight_time
s,0.0,96.72,96.72,0.0
e,214.33,332.84,118.51,117.61
c,503.3,585.32,82.02,170.46
u,671.47,736.02,64.55,86.14
r,866.05,1041.94,175.9,130.03
e,1162.03,1310.41,148.37,120.09
p,1470.05,1637.74,167.69,159.64
a,1748.81,1874.73,125.92,111.07
s,1996.48,2114.77,118.29,121.75
s,2268.45,2339.74,71.28,153.69
w,2512.76,2588.06,75.3,173.02
o,2716.64,2842.49,125.85,128.58
r,3011.99,3086.04,74.05,169.5
d,3246.08,3377.0,130.92,160.04
1,3481.82,3615.22,133.4,104.82
2,3747.63,3934.74,187.11,132.41
3,4050.4,4185.56,135.15,115.66
