key,press_time,release_time,dwell_time,flight_time
s,0.0,128.83,128.83,0.0
e,290.02,520.99,230.97,161.19
c,620.18,797.34,177.16,99.19
u,1025.39,1135.59,110.2,228.05
r,1331.07,1501.05,169.99,195.47
e,1650.26,1761.37,111.11,149.21
p,1860.19,2084.77,224.57,98.82
a,2288.15,2456.29,168.14,203.38
s,2556.95,2685.46,128.5,100.67
s,2877.21,3056.21,179.0,191.75
w,3142.16,3243.23,101.06,85.95
o,3381.24,3516.47,135.23,138.01
r,3628.95,3700.72,71.76,112.48
d,3826.83,4005.91,179.09,126.11
1,4173.05,4360.65,187.6,167.13
2,4616.69,4806.39,189.7,256.04
3,4947.23,5184.42,237.19,140.84
