key,press_time,release_time,dwell_time,flight_time
s,0.0,209.03,209.03,0.0
e,383.41,535.47,152.06,174.38
c,803.56,1021.86,218.31,268.09
u,1272.73,1492.33,219.6,250.87
r,1770.09,1917.02,146.94,277.76
e,2034.78,2199.95,165.18,117.75
p,2437.17,2748.04,310.87,237.22
a,2975.8,3187.37,211.57,227.77
s,3277.97,3439.57,161.6,90.6
s,3759.54,3931.33,171.79,319.97
w,4080.07,4312.53,232.45,148.74
o,4558.92,4714.42,155.51,246.39
r,4833.89,5033.0,199.11,119.47
d,5330.83,5578.21,247.38,297.83
1,5761.54,5979.4,217.86,183.33
2,6211.39,6559.16,347.77,231.99
3,6757.36,6953.28,195.93,198.19
