key,press_time,release_time,dwell_time,flight_time
s,0.0,62.0,62.0,0.0
e,218.6,306.05,87.45,156.6
c,410.18,493.09,82.91,104.13
u,629.94,715.64,85.7,136.85
r,828.04,903.29,75.25,112.4
e,1027.08,1106.45,79.37,123.79
p,1224.65,1297.38,72.73,118.19
a,1403.98,1479.61,75.64,106.6
s,1572.73,1647.62,74.89,93.12
s,1744.91,1824.27,79.36,97.29
w,1956.76,2048.28,91.52,132.49
o,2169.31,2240.84,71.54,121.03
r,2343.87,2423.72,79.85,103.02
d,2537.08,2608.4,71.32,113.36
1,2706.97,2775.01,68.04,98.57
2,2894.98,3016.1,121.12,119.97
3,3127.96,3213.69,85.73,111.86
