key,press_time,release_time,dwell_time,flight_time
s,0.0,60.08,60.08,0.0
e,169.77,280.7,110.93,109.69
c,345.19,431.35,86.17,64.49
u,526.53,622.93,96.41,95.18
r,739.72,834.85,95.13,116.78
e,934.22,1019.68,85.46,99.37
p,1155.68,1236.91,81.22,136.0
a,1290.04,1382.5,92.46,53.14
s,1497.82,1593.52,95.7,115.32
s,1727.8,1832.45,104.66,134.28
w,1938.86,2067.97,129.1,106.41
o,2192.01,2276.86,84.85,124.04
r,2402.49,2504.44,101.95,125.63
d,2617.6,2674.81,57.21,113.16
1,2756.52,2852.34,95.81,81.71
2,2974.74,3054.12,79.38,122.4
3,3166.87,3250.07,83.2,112.76
