key,press_time,release_time,dwell_time,flight_time
s,0.0,101.76,101.76,0.0
e,231.33,323.51,92.18,129.57
c,436.84,534.95,98.11,113.33
u,649.42,783.09,133.67,114.47
r,978.99,1113.83,134.84,195.89
e,1252.59,1388.11,135.52,138.77
p,1483.65,1633.2,149.55,95.54
a,1747.34,1867.46,120.12,114.14
s,2001.97,2127.18,125.2,134.51
s,2261.51,2345.42,83.91,134.34
w,2453.69,2582.51,128.82,108.27
o,2694.09,2841.46,147.37,111.58
r,2978.13,3098.42,120.29,136.66
d,3273.19,3395.53,122.34,174.77
1,3515.94,3680.05,164.1,120.41
2,3823.14,3949.16,126.03,143.09
3,4084.76,4213.83,129.07,135.6
