key,press_time,release_time,dwell_time,flight_time
s,0.0,53.43,53.43,0.0
e,118.46,190.16,71.7,65.03
c,304.54,360.55,56.01,114.38
u,466.91,522.28,55.37,106.36
r,617.25,662.88,45.63,94.97
e,746.87,804.09,57.22,83.99
p,898.76,970.78,72.03,94.67
a,1045.81,1131.09,85.27,75.03
s,1206.42,1281.59,75.17,75.34
s,1386.29,1433.22,46.92,104.7
w,1512.16,1580.62,68.46,78.94
o,1676.53,1738.48,61.96,95.91
r,1813.69,1875.23,61.53,75.21
d,1958.89,2026.17,67.28,83.66
1,2087.77,2154.93,67.17,61.6
2,2218.08,2296.34,78.25,63.15
3,2386.25,2475.12,88.87,89.91
