key,press_time,release_time,dwell_time,flight_time
s,0.0,77.24,77.24,0.0
e,216.58,313.24,96.66,139.34
c,364.34,439.97,75.63,51.1
u,543.18,650.4,107.22,103.2
r,736.83,818.76,81.93,86.43
e,910.58,1018.92,108.33,91.83
p,1112.48,1174.46,61.99,93.56
a,1249.32,1346.84,97.53,74.85
s,1484.11,1567.88,83.77,137.26
s,1670.85,1755.87,85.02,102.97
w,1809.35,1864.28,54.93,53.48
o,2000.86,2063.5,62.64,136.58
r,2143.52,2229.37,85.84,80.02
d,2341.48,2441.86,100.38,112.11
1,2543.92,2637.22,93.3,102.05
2,2697.98,2763.09,65.11,60.76
3,2899.29,2987.99,88.7,136.2
