key,press_time,release_time,dwell_time,flight_time
s,0.0,41.49,41.49,0.0
e,138.14,229.27,91.13,96.65
c,328.96,380.85,51.89,99.69
u,491.45,565.42,73.98,110.6
r,636.89,708.78,71.89,71.47
e,786.56,849.97,63.41,77.77
p,954.25,1037.83,83.58,104.29
a,1093.53,1152.95,59.41,55.7
s,1233.56,1288.11,54.55,80.61
s,1371.82,1431.07,59.25,83.71
w,1530.57,1621.36,90.79,99.5
o,1672.42,1738.13,65.7,51.06
r,1808.31,1867.5,59.2,70.18
d,1965.22,2029.88,64.66,97.71
1,2097.93,2177.76,79.82,68.06
2,2241.4,2319.79,78.39,63.64
3,2404.98,2499.03,94.05,85.19
