key,press_time,release_time,dwell_time,flight_time
s,0.0,76.63,76.63,0.0
e,171.47,259.02,87.55,94.84
c,369.48,442.26,72.78,110.46
u,519.91,566.97,47.06,77.65
r,699.03,770.87,71.83,132.06
e,872.26,966.03,93.76,101.4
p,1069.79,1181.4,111.6,103.77
a,1298.53,1434.55,136.01,117.14
s,1519.45,1602.94,83.5,84.9
s,1716.04,1811.76,95.72,113.1
w,1878.67,1944.31,65.64,66.91
o,2050.26,2105.87,55.61,105.94
r,2209.98,2308.06,98.08,104.11
d,2408.73,2488.42,79.7,100.66
1,2566.55,2661.23,94.68,78.13
2,2771.39,2888.81,117.42,110.16
3,3000.27,3112.69,112.42,111.46
