key,press_time,release_time,dwell_time,flight_time
s,0.0,86.04,86.04,0.0
e,234.06,368.89,134.82,148.03
c,503.27,569.5,66.23,134.39
u,714.02,799.19,85.17,144.52
r,968.08,1089.3,121.22,168.89
e,1252.7,1408.08,155.37,163.4
p,1539.64,1645.15,105.51,131.56
a,1736.62,1863.18,126.56,91.46
s,1967.59,2095.35,127.76,104.41
s,2269.45,2387.47,118.03,174.1
w,2477.34,2571.1,93.75,89.87
o,2698.39,2802.84,104.44,127.3
r,2889.8,3012.55,122.74,86.97
d,3151.19,3241.47,90.28,138.65
1,3424.91,3521.0,96.09,183.44
2,3669.44,3828.3,158.87,148.43
3,3947.38,4079.0,131.62,119.08
