key,press_time,release_time,dwell_time,flight_time
s,0.0,58.49,58.49,0.0
e,149.89,235.14,85.25,91.4
c,319.27,394.69,75.42,84.13
u,470.24,534.73,64.49,75.55
r,599.73,688.1,88.38,65.0
e,785.19,874.51,89.32,97.08
p,965.44,1046.24,80.8,90.93
a,1141.41,1222.66,81.25,95.17
s,1289.86,1365.87,76.01,67.2
s,1472.74,1548.19,75.45,106.87
w,1604.34,1674.1,69.75,56.15
o,1781.9,1860.26,78.36,107.8
r,1934.49,2005.96,71.47,74.23
d,2055.75,2105.3,49.55,49.8
1,2182.38,2277.34,94.96,77.08
2,2359.18,2454.08,94.9,81.84
3,2522.01,2588.35,66.34,67.93
