key,press_time,release_time,dwell_time,flight_time
s,0.0,83.08,83.08,0.0
e,164.15,247.44,83.29,81.07
c,296.79,342.2,45.41,49.35
u,447.04,512.17,65.13,104.84
r,557.45,638.5,81.05,45.28
e,694.65,762.42,67.77,56.15
p,840.53,919.93,79.39,78.12
a,1015.47,1081.2,65.73,95.54
s,1160.43,1228.03,67.6,79.23
s,1291.8,1364.96,73.16,63.77
w,1444.75,1518.16,73.41,79.79
o,1584.16,1645.78,61.62,66.0
r,1744.05,1812.23,68.18,98.27
d,1870.52,1947.55,77.03,58.29
1,2038.61,2151.7,113.08,91.06
2,2242.42,2355.13,112.7,90.73
3,2387.44,2470.23,82.79,32.31
