key,press_time,release_time,dwell_time,flight_time
s,0.0,127.54,127.54,0.0
e,263.18,373.67,110.49,135.64
c,486.98,605.88,118.89,113.31
u,727.91,811.72,83.81,122.03
r,983.25,1087.51,104.26,171.52
e,1251.13,1332.05,80.93,163.61
p,1475.14,1628.02,152.87,143.09
a,1772.34,1864.0,91.66,144.32
s,2056.63,2115.47,58.84,192.64
s,2246.61,2307.37,60.76,131.14
w,2468.77,2568.41,99.64,161.4
o,2686.07,2780.76,94.69,117.66
r,2875.33,2977.83,102.5,94.57
d,3098.4,3199.94,101.54,120.57
1,3300.18,3439.92,139.73,100.24
2,3591.97,3759.24,167.27,152.05
3,3860.24,4033.24,173.0,101.0
