key,press_time,release_time,dwell_time,flight_time
s,0.0,65.39,65.39,0.0
e,202.26,354.17,151.91,136.87
c,553.62,659.64,106.02,199.45
u,785.77,890.81,105.04,126.13
r,1012.77,1174.95,162.18,121.95
e,1306.52,1463.63,157.11,131.58
p,1634.33,1777.11,142.78,170.7
a,1868.39,1970.24,101.84,91.28
s,2104.97,2233.38,128.41,134.73
s,2392.76,2484.88,92.12,159.38
w,2609.53,2746.95,137.42,124.65
o,2896.43,3022.53,126.1,149.48
r,3210.53,3312.13,101.6,188.01
d,3435.66,3532.24,96.58,123.53
1,3651.74,3796.19,144.45,119.5
2,3891.05,4040.62,149.57,94.86
3,4126.3,4323.36,197.06,85.67
