key,press_time,release_time,dwell_time,flight_time
s,0.0,69.8,69.8,0.0
e,146.05,280.76,134.71,76.25
c,386.25,574.04,187.8,105.49
u,682.99,762.65,79.66,108.95
r,921.74,984.56,62.82,159.09
e,1101.56,1203.18,101.62,117.0
p,1330.45,1415.27,84.82,127.27
a,1521.82,1606.42,84.6,106.55
s,1737.58,1814.58,77.0,131.16
s,1933.63,2030.29,96.66,119.05
w,2159.24,2284.51,125.27,128.95
o,2422.99,2556.27,133.28,138.47
r,2739.93,2859.56,119.63,183.67
d,2978.57,3092.25,113.68,119.01
1,3242.72,3361.43,118.71,150.47
2,3480.53,3615.16,134.62,119.1
3,3708.86,3878.04,169.18,93.7
