key,press_time,release_time,dwell_time,flight_time
s,0.0,94.11,94.11,0.0
e,185.09,293.23,108.14,90.97
c,442.86,559.23,116.37,149.63
u,666.68,730.21,63.53,107.45
r,795.14,885.23,90.09,64.93
e,984.66,1051.22,66.56,99.43
p,1130.68,1247.17,116.49,79.46
a,1333.44,1434.69,101.25,86.27
s,1538.96,1605.83,66.87,104.27
s,1697.55,1749.0,51.44,91.72
w,1851.93,1979.81,127.89,102.93
o,2164.89,2241.01,76.12,185.08
r,2340.87,2462.36,121.49,99.86
d,2580.93,2648.79,67.86,118.57
1,2776.49,2916.34,139.85,127.7
2,3034.36,3129.69,95.33,118.02
3,3242.8,3352.96,110.16,113.11
