key,press_time,release_time,dwell_time,flight_time
s,0.0,142.37,142.37,0.0
e,268.56,436.21,167.64,126.19
c,533.01,709.27,176.26,96.81
u,872.46,1030.98,158.53,163.18
r,1180.28,1354.75,174.47,149.29
e,1454.74,1656.14,201.4,99.99
p,1741.82,1948.49,206.67,85.68
a,2121.63,2270.97,149.34,173.14
s,2431.21,2562.57,131.36,160.24
s,2723.12,2912.03,188.9,160.55
w,3078.81,3228.0,149.19,166.79
o,3330.94,3507.29,176.34,102.94
r,3630.4,3780.4,150.01,123.11
d,3862.22,4044.89,182.66,81.82
1,4184.02,4395.06,211.05,139.13
2,4527.11,4704.43,177.32,132.04
3,4896.31,5056.8,160.5,191.88
