key,press_time,release_time,dwell_time,flight_time
s,0.0,83.15,83.15,0.0
e,196.56,271.95,75.39,113.42
c,389.45,457.2,67.75,117.5
u,630.9,708.17,77.27,173.7
r,831.42,924.73,93.31,123.25
e,1041.77,1119.21,77.44,117.04
p,1205.28,1259.97,54.68,86.07
a,1358.7,1434.18,75.47,98.74
s,1525.31,1602.64,77.33,91.13
s,1710.47,1794.68,84.21,107.83
w,1899.72,1986.8,87.08,105.04
o,2099.57,2177.93,78.36,112.77
r,2307.03,2372.19,65.17,129.09
d,2472.91,2537.92,65.01,100.72
1,2674.76,2772.66,97.9,136.83
2,2858.01,2937.54,79.53,85.35
3,3017.22,3131.57,114.35,79.68
