key,press_time,release_time,dwell_time,flight_time
s,0.0,97.78,97.78,0.0
e,186.18,313.11,126.93,88.4
c,514.82,605.35,90.52,201.71
u,740.31,857.13,116.81,134.97
r,999.17,1081.77,82.61,142.04
e,1186.17,1310.69,124.52,104.4
p,1524.49,1715.58,191.09,213.8
a,1865.42,1966.83,101.41,149.83
s,2152.35,2262.65,110.31,185.52
s,2388.07,2507.62,119.55,125.42
w,2687.19,2807.74,120.55,179.57
o,2916.72,3001.01,84.29,108.98
r,3103.2,3178.18,74.97,102.19
d,3325.84,3437.84,112.0,147.66
1,3650.35,3810.73,160.38,212.5
2,3948.78,4029.97,81.19,138.05
3,4154.25,4248.11,93.87,124.27
