key,press_time,release_time,dwell_time,flight_time
s,0.0,64.28,64.28,0.0
e,152.94,205.62,52.68,88.66
c,282.06,352.74,70.68,76.44
u,404.89,469.36,64.47,52.15
r,563.6,650.19,86.59,94.24
e,747.72,803.15,55.43,97.53
p,865.21,927.57,62.36,62.06
a,1006.33,1070.59,64.26,78.77
s,1124.68,1173.91,49.23,54.09
s,1267.95,1340.63,72.68,94.04
w,1419.66,1478.95,59.29,79.03
o,1551.22,1651.48,100.26,72.27
r,1708.99,1768.93,59.94,57.51
d,1859.09,1913.36,54.27,90.16
1,1960.91,2039.69,78.79,47.55
2,2117.6,2178.25,60.65,77.9
3,2275.61,2352.77,77.16,97.36
