key,press_time,release_time,dwell_time,flight_time
s,0.0,83.73,83.73,0.0
e,202.31,380.94,178.62,118.58
c,485.18,703.38,218.2,104.24
u,813.09,1045.07,231.99,109.71
r,1230.59,1406.23,175.65,185.51
e,1533.44,1695.41,161.98,127.21
p,1788.89,1971.24,182.36,93.47
a,2114.82,2305.85,191.03,143.57
s,2454.09,2608.38,154.28,148.24
s,2841.87,3065.73,223.86,233.5
w,3233.55,3449.52,215.97,167.82
o,3608.36,3785.77,177.42,158.84
r,3842.28,4059.82,217.54,56.51
d,4248.89,4385.36,136.47,189.08
1,4519.47,4680.33,160.86,134.11
2,4899.79,5112.1,212.31,219.45
3,5184.51,5355.8,171.29,72.41
