key,press_time,release_time,dwell_time,flight_time
s,0.0,91.85,91.85,0.0
e,200.61,298.13,97.52,108.76
c,394.35,492.44,98.09,96.22
u,576.71,668.77,92.06,84.27
r,747.64,847.86,100.22,78.87
e,975.13,1115.47,140.34,127.27
p,1174.98,1264.87,89.89,59.51
a,1347.61,1422.95,75.34,82.73
s,1533.36,1641.49,108.13,110.41
s,1756.45,1844.79,88.34,114.96
w,1965.96,2061.31,95.34,121.17
o,2189.03,2311.56,122.53,127.73
r,2380.43,2433.93,53.5,68.87
d,2529.98,2574.6,44.63,96.05
1,2684.58,2808.68,124.09,109.98
2,2899.87,2990.14,90.27,91.2
3,3115.2,3260.95,145.74,125.06
