key,press_time,release_time,dwell_time,flight_time
s,0.0,65.47,65.47,0.0
e,159.29,238.4,79.11,93.83
c,323.01,415.14,92.13,84.61
u,503.9,580.9,77.0,88.76
r,644.43,723.89,79.46,63.53
e,826.87,879.34,52.46,102.99
p,964.65,1057.15,92.5,85.31
a,1148.75,1231.52,82.77,91.6
s,1324.78,1385.26,60.47,93.26
s,1446.59,1535.39,88.8,61.33
w,1611.9,1677.39,65.49,76.51
o,1768.27,1842.58,74.31,90.88
r,1989.71,2056.93,67.21,147.13
d,2156.02,2219.27,63.25,99.1
1,2353.48,2439.97,86.49,134.2
2,2516.81,2613.47,96.66,76.84
3,2660.91,2752.11,91.2,47.44
