key,press_time,release_time,dwell_time,flight_time
s,0.0,54.15,54.15,0.0
e,159.08,209.67,50.59,104.93
c,276.66,337.35,60.69,67.0
u,392.98,455.06,62.08,55.63
r,516.46,592.08,75.62,61.4
e,672.77,738.51,65.74,80.69
p,813.54,914.39,100.85,75.03
a,967.58,1031.86,64.28,53.19
s,1127.22,1183.09,55.87,95.37
s,1305.94,1387.99,82.05,122.85
w,1522.86,1587.37,64.51,134.87
o,1664.19,1739.96,75.76,76.82
r,1842.26,1916.17,73.91,102.3
d,2005.3,2075.51,70.21,89.13
1,2166.72,2230.26,63.53,91.22
2,2311.79,2416.15,104.37,81.53
3,2505.5,2584.82,79.32,89.35
