key,press_time,release_time,dwell_time,flight_time
s,0.0,142.32,142.32,0.0
e,310.75,478.65,167.9,168.43
c,645.28,745.82,100.55,166.63
u,894.42,1013.35,118.92,148.6
r,1201.82,1255.31,53.48,188.47
e,1434.69,1616.12,181.43,179.38
p,1662.47,1781.56,119.1,46.35
a,1873.03,2023.72,150.68,91.47
s,2126.84,2317.39,190.55,103.12
s,2469.87,2682.28,212.42,152.48
w,2863.9,2951.04,87.14,181.61
o,3153.5,3249.16,95.66,202.46
r,3406.33,3522.84,116.51,157.16
d,3671.79,3797.64,125.85,148.95
1,3916.34,4098.11,181.77,118.7
2,4222.83,4331.44,108.61,124.72
3,4496.1,4686.35,190.25,164.66
