key,press_time,release_time,dwell_time,flight_time
s,0.0,130.31,130.31,0.0
e,258.08,395.37,137.29,127.76
c,540.15,650.18,110.03,144.78
u,797.9,913.57,115.66,147.72
r,1103.77,1256.44,152.67,190.21
e,1433.18,1609.55,176.37,176.75
p,1743.87,1925.66,181.78,134.32
a,2110.14,2259.63,149.49,184.48
s,2382.29,2436.07,53.78,122.66
s,2529.25,2621.75,92.49,93.18
w,2814.02,2956.74,142.72,192.27
o,3116.79,3254.68,137.9,160.05
r,3417.62,3581.7,164.09,162.93
d,3663.18,3815.87,152.69,81.48
1,4006.99,4153.19,146.19,191.13
2,4332.59,4519.2,186.61,179.4
3,4706.57,4801.77,95.19,187.37
