key,press_time,release_time,dwell_time,flight_time
s,0.0,59.71,59.71,0.0
e,200.23,257.27,57.04,140.52
c,333.72,426.71,93.0,76.45
u,549.52,645.08,95.57,122.8
r,728.8,819.72,90.92,83.72
e,961.7,1088.73,127.03,141.97
p,1219.62,1353.97,134.34,130.9
a,1492.71,1608.05,115.33,138.75
s,1776.13,1851.72,75.59,168.09
s,1967.51,2092.66,125.15,115.79
w,2192.44,2276.98,84.54,99.78
o,2361.4,2410.4,49.0,84.42
r,2526.89,2677.96,151.06,116.5
d,2789.06,2905.75,116.69,111.1
1,3021.28,3122.37,101.09,115.53
2,3257.78,3372.09,114.3,135.41
3,3468.63,3568.5,99.88,96.54
