key,press_time,release_time,dwell_time,flight_time
s,0.0,157.38,157.38,0.0
e,239.98,361.24,121.26,82.6
c,502.81,593.44,90.64,141.56
u,813.38,889.96,76.59,219.94
r,960.47,1067.75,107.28,70.5
e,1200.55,1331.73,131.17,132.81
p,1519.1,1695.29,176.19,187.38
a,1825.3,1909.29,83.98,130.01
s,2088.72,2196.16,107.45,179.43
s,2355.97,2488.31,132.33,159.81
w,2563.64,2735.44,171.81,75.33
o,2807.6,2912.47,104.87,72.16
r,2998.0,3111.29,113.29,85.53
d,3309.82,3394.21,84.39,198.53
1,3420.06,3618.18,198.12,25.85
2,3753.59,3883.87,130.29,135.41
3,3970.51,4110.28,139.77,86.63
