key,press_time,release_time,dwell_time,flight_time
s,0.0,59.58,59.58,0.0
e,127.76,199.45,71.7,68.18
c,274.65,326.69,52.04,75.19
u,416.45,491.57,75.12,89.76
r,584.44,656.33,71.89,92.87
e,744.07,814.9,70.83,87.74
p,899.28,971.56,72.29,84.38
a,1076.26,1148.86,72.6,104.7
s,1237.66,1301.26,63.6,88.8
s,1393.45,1463.22,69.77,92.19
w,1555.54,1623.96,68.42,92.32
o,1718.72,1767.58,48.86,94.76
r,1861.4,1910.48,49.08,93.82
d,1994.74,2038.19,43.44,84.26
1,2122.19,2196.71,74.52,84.01
2,2289.03,2363.89,74.86,92.32
3,2477.77,2556.38,78.61,113.88
