key,press_time,release_time,dwell_time,flight_time
s,0.0,119.23,119.23,0.0
e,261.33,376.47,115.13,142.1
c,575.85,703.89,128.04,199.39
u,849.86,989.69,139.83,145.97
r,1163.42,1301.82,138.4,173.73
e,1467.28,1588.3,121.02,165.46
p,1691.63,1806.97,115.34,103.32
a,1911.33,2006.72,95.4,104.36
s,2106.29,2201.77,95.48,99.57
s,2309.94,2376.95,67.01,108.17
w,2544.5,2657.28,112.78,167.54
o,2736.24,2836.77,100.53,78.97
r,2956.34,3069.45,113.11,119.57
d,3203.52,3267.53,64.01,134.07
1,3395.11,3541.58,146.47,127.58
2,3692.72,3813.47,120.76,151.13
3,3923.02,4024.7,101.68,109.55
