key,press_time,release_time,dwell_time,flight_time
s,0.0,209.64,209.64,0.0
e,341.42,493.88,152.46,131.77
c,711.38,916.67,205.29,217.5
u,1053.36,1132.51,79.14,136.69
r,1298.86,1463.42,164.56,166.35
e,1694.24,1887.61,193.37,230.82
p,2023.42,2219.52,196.1,135.81
a,2334.82,2483.76,148.94,115.3
s,2630.23,2752.35,122.12,146.47
s,2864.38,3042.88,178.5,112.03
w,3156.3,3228.58,72.28,113.42
o,3331.29,3451.13,119.83,102.72
r,3593.59,3759.06,165.47,142.46
d,3873.99,4008.13,134.14,114.93
1,4126.58,4281.4,154.82,118.45
2,4506.45,4677.63,171.18,225.05
3,4801.8,4961.14,159.35,124.16
